"school_dbn","mean_algebra2","mean_english","school_name","percent_of_teachers_with_3_or_more_years_of_experience","percent_of_students_chronically_absent","rigorous_instruction_percent_positive","supportive_environment_percent_positive","economic_need_index"
"28Q350",74.94186401,80.34306335,"Jamaica Gateway to the Sciences",0.759,0.262,0.86,0.78,0.676
"28Q440",77.25333405,81.17808533,"Forest Hills High School",0.874,0.252,0.77,0.69,0.587
"28Q505",64.6867218,70.27348328,"Hillcrest High School",0.865,0.356,0.81,0.69,0.731
"28Q686",60.72413635,81.91636658,"Queens Metropolitan High School",0.901,0.217,0.79,0.71,0.473
"28Q687",88.53488159,93.73362732,"Queens High School for the Sciences at York Colleg",0.846,0.046,0.75,0.75,0.478
"28Q690",62.54545593,68.42753601,"High School for Law Enforcement and Public Safety",0.8,0.322,0.77,0.63,0.713
"29Q248",56.38596344,66.43949127,"Queens Preparatory Academy",0.714,0.436,0.71,0.62,0.659
"29Q265",61.90625,60.680233,"Excelsior Preparatory High School",0.963,0.371,0.83,0.7,0.575
"29Q272",54.69230652,72.08759308,"George Washington Carver High School for the Scien",0.897,0.369,0.82,0.68,0.669
"29Q326",63.59090805,61.90434647,"Cambria Heights Academy",0.667,0.299,0.75,0.65,0.572
"29Q498",50.82524109,63.72872162,"Humanities & Arts Magnet High School",0.667,0.454,0.8,0.65,0.681
"30Q445",61.04105759,62.65459061,"William Cullen Bryant High School",0.658,0.328,0.74,0.65,0.792
"30Q450",63.52750778,71.79233551,"Long Island City High School",0.766,0.385,0.77,0.62,0.795
"30Q501",76.28481293,84.75263214,"Frank Sinatra School of the Arts High School",0.942,0.196,0.82,0.76,0.394
"30Q502",59.66403198,75.58078766,"Information Technology High School",0.852,0.329,0.73,0.68,0.776
"30Q555",76.07142639,65.42705536,"Newcomers High School",0.889,0.28,0.82,0.78,0.974
"30Q575",72.83464813,82.37386322,"Academy of American Studies",0.83,0.17,0.81,0.67,0.547
"31R047",70.33673096,90.37374115,"CSI High School for International Studies",0.926,0.112,0.89,0.84,0.358
"31R064",70.59375,81.45161438,"Gaynor McCown Expeditionary Learning School",0.806,0.267,0.79,0.72,0.357
"31R440",72.30030823,74.33973694,"New Dorp High School",0.841,0.21,0.81,0.68,0.554
"31R445",68.89256287,65.92418671,"Port Richmond High School",0.82,0.392,0.78,0.72,0.715
"31R450",66.8953476,66.97013092,"Curtis High School",0.848,0.385,0.77,0.67,0.741
"31R455",72.685112,81.67421722,"Tottenville High School",0.884,0.258,0.76,0.69,0.321
"31R460",73.53923798,81.72386932,"Susan E. Wagner High School",0.879,0.269,0.79,0.7,0.522
"31R605",87.09667969,94.95046234,"Staten Island Technical High School",0.9,0.07,0.92,0.89,0.36
"32K168",78.91304016,77.24468231,"The Brooklyn School for Math and Research",0.667,0.29,0.84,0.73,0.82
"32K403",55.33333206,46.77118683,"Academy for Environmental Leadership",0.583,0.605,0.7,0.7,0.903
"32K545",50.74666595,51.57086563,"EBC High School for Public Service - Bushwick",0.718,0.527,0.81,0.73,0.919
"32K556",50.56521606,51.49056625,"Bushwick Leaders High School for Academic Excellen",0.538,0.566,0.71,0.73,0.922
